113986	和家宾馆连锁（北京后海店）原（北京德胜门店）	116.39353853142	39.952119627772	248	456	4.3
114	北京上园饭店	116.35042880476	39.952989939727	298	402	3.9
114097	北京佳伟快捷酒店	116.41288498489	40.108735309776	170	135	4.0
114098	北京龙凤商务酒店	116.2326588666	40.204920386025	160	26	3.6
114099	沐阳时尚连锁宾馆（北京王府井店）	116.41486616468	39.921807595159	198	139	3.4
114100	北京三间房祥和宾馆	116.57577243853	39.921040217144	168	79	3.5
114239	汉庭酒店（北京立水桥店）	116.42285733196	40.060639124697	284	284	4.1
114242	北京天通五谷宾馆	116.41749241403	40.071608307049	99	43	3.5
114286	北京宝钞卧龙客栈	116.40656383916	39.951408606819	148	105	3.6
114298	阳光短租服务式公寓（北京中关村店）	116.31354566141	39.987706624862	348	24	3.8
114305	阳光短租服务式公寓（北京亚运村店）	116.41350269007	40.000405744163	338	7	2.5
114310	源泉宾馆（北京站店）	116.43373893267	39.902919123586	98	157	3.4
114325	金辉大酒店（北京学清路店）	116.35962074185	40.015643215143	249	283	3.5
114332	如家快捷酒店（北京亦庄永昌南路店）	116.54603898465	39.773272326051	199	376	4.1
114333	阳光短租服务式公寓（北京华茂店）	116.49224870346	39.905806415375	258	10	3.3
114334	天天如家自助服务式公寓（北京健翔桥店）	116.38759022556	39.986005892682	198	38	3.9
114336	速8酒店（首都机场新国展店）	116.55016391107	40.10529496644	278	162	3.6
114390	北京金泰之家甘家口店	116.34164087872	39.934797193471	278	280	4.0
114411	北京庐舍宾馆	116.482765086	39.959371676359	258	116	3.7
114416	北京合德缘四合院酒店	116.40282609943	39.900493089542	358	212	4.0
114449	天天如家自助服务式公寓（北京建国门店）	116.45146370342	39.912390253409	278	116	4.3
114466	天天如家自助服务式公寓（北京中关村店）	116.31904971996	39.983363247947	249	53	3.9
114490	北京聚盛祥宾馆	116.4304005268	40.001802533443	259	26	3.0
114491	北京乐家快捷酒店	116.36018463317	39.896291662621	132	383	4.0
